,date,amount,上涨数,涨幅>2%,涨幅中位,涨幅均值,新高,新低,>MA20,index
0,20231130,7729.86438788,0.2933070866141732,0.05866141732283465,-0.6207327034816634,-0.5330260444350354,133,213,0.4047244094488189,1000
1,20231201,8339.40605195,0.5853178508167683,0.1604014957685495,0.3231017770597644,0.6247024439194909,156,153,0.4512891163156859,994.2312062604165
2,20231204,8510.06811943,0.43818897637795273,0.08937007874015748,-0.11507495100375742,0.010761054754833561,190,218,0.45216535433070865,998.9428889300311
3,20231205,8223.6249109,0.08226727022239716,0.028931312733713837,-1.805054151624541,-1.7761639265120805,85,439,0.25723282818342846,998.421870805659
4,20231206,8168.85023326,0.6239669421487604,0.11530893349075168,0.37037037037035425,0.5102452507442822,152,193,0.30932703659976385,980.5440385389778
5,20231207,8199.38304735,0.33937007874015745,0.07933070866141732,-0.4626149448195338,-0.3041555223133054,110,290,0.27893700787401576,984.8614505266191
6,20231208,9615.79246854,0.2589022230965965,0.08380877434585875,-1.1389521640091105,-0.8387005929040804,88,423,0.2010623647452292,981.085637154212
7,20231211,9112.94153583,0.7698209718670077,0.21581743065119025,0.9656004828002329,1.0663476357121793,144,178,0.2650009836710604,971.3844035787822
8,20231212,7873.351715549999,0.5744638992720834,0.11843399567184733,0.23923444976077235,0.45840340635717786,159,142,0.3157584103875664,981.2534171348032
9,20231213,7683.868069470001,0.26745329400196655,0.05801376597836775,-0.7042253521126751,-0.5934713286654766,116,410,0.28987217305801377,984.676214785995
10,20231214,7368.2914307,0.37495084545812035,0.055053086905230045,-0.2530578265417138,-0.25416909113235114,117,353,0.2904050334250885,978.28715950815
11,20231215,7330.18790673,0.2945340149429807,0.05131734172237515,-0.48193050910442237,-0.4126851173779458,92,347,0.25540699960676366,975.8060916055629
12,20231218,6925.46624963,0.12721195438458513,0.037750688163586316,-1.4701379633298373,-1.3354366735466556,65,809,0.18246165945733386,971.4412347157278
13,20231219,6426.508882360001,0.5240999409797363,0.09246507967735589,0.11160714285713969,0.19083546530669115,70,506,0.18650403305134763,957.8139802690556
14,20231220,6634.99857385,0.19366889500589854,0.042272906016515926,-1.001669759272239,-0.9754057899775008,73,854,0.15277231616201337,959.2623990606974
15,20231221,7323.67363083,0.694651985843492,0.1394022807707432,0.588235294117645,0.6986014407081569,85,244,0.20094376720408966,949.7797278882097
16,20231222,7793.290518399999,0.18639402280770742,0.04758159653952025,-1.302861329893168,-1.2887542091366389,54,590,0.14195831694848604,955.8907851074067
17,20231225,6079.88438389,0.3556822650412898,0.081399921352733,-0.4423273734272426,-0.33854299631625534,66,684,0.1405819897758553,943.504278045908
18,20231226,6097.91712745,0.13011006289308177,0.042059748427672954,-1.4367816091954033,-1.2858252152662002,51,1094,0.1214622641509434,939.8205053736466
19,20231227,6367.08491688,0.7207702888583218,0.17842405187659657,0.7320644216691097,0.7790812137723192,69,358,0.1483592061308705,927.0266967651504
20,20231228,8842.445994650001,0.8419189933149823,0.4416044042469524,1.744186046511631,1.9376388043326205,81,25,0.3071175776641762,934.0310584989221
21,20231229,8224.5895759,0.8058557673413245,0.31911966987620355,1.2461059190031154,1.5473484367622459,188,28,0.4900766358813126,951.2257523121306
